Id_bien;No_voie;Type_de_voie;Voie;Section;No_plan;Premier_Lot;Surface_Carrez_du_1er_Lot;Nombre_de_lots;Type_local;Surface_reelle_bati;Nb_piece_principale;Nature_culture;Nature_culture_speciale;Surface_terrain;CodeComm_CodeDep
1;347;RUE;DU CHATEAU;A;302;12;48,22;2;Appartement;48;3;;;;01103
2;4;BD;EDOUARD BAUDOIN;CP;186;132;39,11;2;Appartement;40;1;;;;06004
3;20;RUE;MARCEAU;LS;169;99;80,25;1;Appartement;82;3;;;;06088
4;550;RTE;DES VESPINS RN7;AO;348;242;27,51;1;Appartement;27;1;;;;06123
5;9300;RES;LES ARPEGES BD DES ABA;AW;224;218;47,33;1;Appartement;47;2;;;;13005
6;27;RUE;DU GRAND MADIER;AB;69;2;25,31;1;Appartement;24;1;;;;13028
7;360;AV;DU PRADO;C;21;112;70,84;2;Appartement;70;3;;;;13208
8;5076;PARC;DESSUARD;A;97;1080;67,19;2;Appartement;66;3;;;;13212
9;1194;RUE;DE NORMANDIE;AC;181;155;18,89;2;Appartement;19;1;;;;14338
10;30;ALL;DES NOISETIERS;BH;93;32;105,37;2;Maison;99;4;;;;14366
11;11;RUE;ROUGET DE L ISLE;CZ;138;6;31,99;1;Appartement;34;2;;;;17300
12;13;RUE;BERTHE MORISOT;MZ;143;6;96,21;1;Maison;100;5;;;;25056
13;1;RUE;DU POHER;KI;28;305;30,86;2;Appartement;31;1;;;;29232
14;2;RUE;DES JARDINS;BO;199;3;66,21;2;Appartement;67;3;;;;29260
15;5;AV;DU COMMANDANT TAILLANDIER;AB;141;9;45,58;1;Appartement;46;2;;;;31555
16;15;RUE;PAUL DENUCE;EK;259;8;23,2;1;Appartement;27;1;;;;33063
17;176;RUE;SAINTE CATHERINE;HD;203;12;13,1;1;Appartement;12;1;;;;33063
18;822;;LA BAYNASSE SUD;CA;93;89;29;1;Appartement;29;2;;;;33097
19;9;RUE;DE BELFORT;DL;118;207;51,4;1;Appartement;51;2;;;;33449
20;183;RUE;MARC ANTOINE MENARD;AX;195;1;16,79;2;Appartement;18;1;;;;34145
21;50;AV;ANDRE CHASSEFIERE;CA;49;19;51,4;1;Appartement;51;2;;;;34150
22;8;PL;DES ETATS DU LANGUEDOC;BI;110;3;68,22;1;Appartement;85;3;;;;34199
23;7;RUE;JEAN-JACQUES ROUSSEAU;BM;159;3;88,45;1;Maison;89;4;;;;37156
24;197;AV;DE GRAMMONT;DP;550;33;42,94;2;Appartement;46;2;;;;37261
25;48;BD;MAL FOCH;DI;69;25;76,48;2;Appartement;77;4;;;;38185
26;210;RTE;DU TAILLEUR;AB;1163;108;48,23;1;Maison;53;3;;;;40266
27;199;RES;MER ET GOLF-LE BOUCANIER;AN;156;199;49,91;1;Appartement;48;2;;;;40328
28;3;ALL;JEAN PERRIN;CO;52;1170;46,3;2;Appartement;45;2;;;;44143
29;12;RUE;FERDINAND BUISSON;CS;148;41;47,24;2;Appartement;48;2;;;;44184
30;35;AV;DE CHAMPAGNE;AI;162;404;81,09;2;Appartement;79;4;;;;51230
31;26;RUE;MESSIER;CH;64;11;39,69;1;Appartement;39;2;;;;54395
32;5794;;GOLF SAINT LAURENT;G;1476;120;43,85;1;Appartement;44;3;;;;56161
33;5;RUE;DE PRUNEVEAUX;BO;246;9;108,78;1;Appartement;124;4;;;;58194
34;118;BD;DU GENERAL DE GAULLE;KM;15;7;89,84;3;Appartement;71;3;;;;59512
35;247;RUE;DE NOTRE DAME DU THIL;BE;59;17;48,35;1;Appartement;48;2;;;;60057
36;34;RUE;DE LA VILLE;AB;396;4;19,11;1;Appartement;18;1;;;;60155
37;15;SQ;JEAN BAPTISTE CLEMENT;AV;82;124;97,39;2;Appartement;97;5;;;;60159
38;84;AV;JEAN JAURES;AE;239;1;31,73;1;Appartement;32;1;;;;60524
39;54;RUE;DE LA BUSSIERE;AI;192;27;49,89;1;Appartement;51;2;;;;69149
40;15;RUE;ARTAUD;AY;167;144;20,02;1;Appartement;20;1;;;;69384
41;1;AV;D ABONDANCE;AL;5;73;34,86;2;Appartement;33;2;;;;74119
42;950;AV;DU MONT D ARBOIS;I;2810;68;39,05;1;Appartement;39;2;;;;74236
43;110;RTE;DE LA TELECABINE;G;876;572;18,93;1;Appartement;20;1;;;;74238
44;2308;AV;DES VALLEES;AB;318;5;88,59;1;Appartement;88;4;;;;74278
45;22;BD;SAINT MARCEL;AR;45;28;30,05;1;Appartement;41;2;;;;75105
46;45;BD;DE MAGENTA;BA;48;15;32,3;2;Appartement;32;2;;;;75110
47;14;AV;DE LA REPUBLIQUE;AA;43;23;120,28;2;Appartement;120;4;;;;75111
48;160;RUE;SAINT MAUR;AD;10;42;17,94;1;Appartement;28;2;;;;75111
49;11;RUE;DU MOULIN JOLY;AH;72;23;28,39;1;Appartement;28;2;;;;75111
50;36;RUE;ERARD;CT;43;18;18;2;Appartement;41;2;;;;75112
51;220;RUE;DE CHARENTON;DA;17;21;51,44;1;Appartement;51;3;;;;75112
