Id_ventes;No_disposition;Date_mutation;Nature_mutation;Valeur_fonciere;Id_refbien
1;1;02/01/2020;Vente;165000;1
2;1;02/01/2020;Vente;355680;2
3;1;02/01/2020;Vente;229500;3
4;1;02/01/2020;Vente;125000;4
5;1;02/01/2020;Vente;90000;5
6;1;02/01/2020;Vente;93000;6
7;1;02/01/2020;Vente;298100;7
8;1;02/01/2020;Vente;163500;8
9;1;02/01/2020;Vente;53000;9
10;1;02/01/2020;Vente;136000;10
11;1;02/01/2020;Vente;125900;11
12;1;02/01/2020;Vente;234000;12
13;1;02/01/2020;Vente;46210;13
14;1;02/01/2020;Vente;129000;14
15;1;02/01/2020;Vente;122500;15
16;1;02/01/2020;Vente;86025;16
17;1;02/01/2020;Vente;79000;17
18;1;02/01/2020;Vente;81795;18
19;1;02/01/2020;Vente;156000;19
20;1;02/01/2020;Vente;139900;20
21;1;02/01/2020;Vente;163870;21
22;1;02/01/2020;Vente;108100;22
23;1;02/01/2020;Vente;205000;23
24;1;02/01/2020;Vente;94000;24
25;1;02/01/2020;Vente;149500;25
26;1;02/01/2020;Vente;111500;26
27;1;02/01/2020;Vente;140000;27
28;1;02/01/2020;Vente;122850;28
29;1;02/01/2020;Vente;135850;29
30;1;02/01/2020;Vente;135500;30
31;1;02/01/2020;Vente;71250;31
32;1;02/01/2020;Vente;107000;32
33;1;02/01/2020;Vente;148400;33
34;1;02/01/2020;Vente;132000;34
35;1;02/01/2020;Vente;107194;35
36;1;02/01/2020;Vente;57200;36
37;1;02/01/2020;Vente;124770;37
38;1;02/01/2020;Vente;67000;38
39;1;02/01/2020;Vente;150830;39
40;1;02/01/2020;Vente;68900;40
41;1;02/01/2020;Vente;120000;41
42;1;02/01/2020;Vente;135460;42
43;1;02/01/2020;Vente;62000;43
44;1;02/01/2020;Vente;281000;44
45;1;02/01/2020;Vente;357000;45
46;1;02/01/2020;Vente;374000;46
47;1;02/01/2020;Vente;1147650;47
48;1;02/01/2020;Vente;145000;48
49;1;02/01/2020;Vente;324120;49
50;1;02/01/2020;Vente;408220;50
51;1;02/01/2020;Vente;582670;51
52;1;02/01/2020;Vente;80000;52
53;1;02/01/2020;Vente;840250;53
54;1;02/01/2020;Vente;266000;54
55;1;02/01/2020;Vente;473000;55
56;1;02/01/2020;Vente;207200;56
57;1;02/01/2020;Vente;49000;57
58;1;02/01/2020;Vente;101250;58
59;1;02/01/2020;Vente;35000;59
60;1;02/01/2020;Vente;132000;60
61;1;02/01/2020;Vente;472950;61
62;1;02/01/2020;Vente;478161;62
63;1;02/01/2020;Vente;153700;63
64;1;02/01/2020;Vente;155800;64
65;1;02/01/2020;Vente;624000;65
66;1;02/01/2020;Vente;135700;66
67;1;02/01/2020;Vente;196000;67
68;1;02/01/2020;Vente;172850;68
69;1;02/01/2020;Vente;120500;69
70;1;02/01/2020;Vente;224000;70
71;1;02/01/2020;Vente;367000;71
72;1;02/01/2020;Vente;132840;72
73;1;02/01/2020;Vente;78500;73
74;1;02/01/2020;Vente;72000;74
75;1;02/01/2020;Vente;107100;75
76;1;02/01/2020;Vente;134000;76
77;1;02/01/2020;Vente;68181;77
78;1;02/01/2020;Vente;275900;78
79;1;02/01/2020;Vente;160000;79
